curvature, distance
126,0.03197693999365832
126,0.03197693999365832
127,0.02906994544878029
130,0.02616295090390226
137,0.020348961814146204
144,0.020348961814146204
147,0.02325595635902423
152,0.02616295090390226
173,0.017441967269268173
210,0.011627978179512116
270,0.002906994544878029
221,0.014534972724390145
202,0.02325595635902423
174,0.037790929083414374
179,0.037790929083414374
177,0.04069792362829241
187,0.037790929083414374
185,0.04069792362829241
178,0.04941890726292649
176,0.05232590180780452
177,0.05232590180780452
193,0.04651191271804846
203,0.043604918173170436
221,0.034883934538536346
201,0.037790929083414374
179,0.04069792362829241
158,0.043604918173170436
152,0.04069792362829241
152,0.02906994544878029
151,0.020348961814146204
149,0.014534972724390145
146,0.011627978179512116
143,0.008720983634634086
140,0.005813989089756058
143,0.002906994544878029
151,0.002906994544878029
131,0.008720983634634086
120,0.017441967269268173
113,0.02616295090390226
114,0.02616295090390226
111,0.03197693999365832
107,0.034883934538536346
111,0.034883934538536346
114,0.03197693999365832
117,0.034883934538536346
119,0.034883934538536346
124,0.034883934538536346
129,0.034883934538536346
135,0.037790929083414374
138,0.04069792362829241
133,0.04651191271804846
135,0.05232590180780452
138,0.055232896352682546
146,0.04941890726292649
151,0.04941890726292649
157,0.04941890726292649
164,0.04651191271804846
170,0.043604918173170436
175,0.037790929083414374
185,0.02616295090390226
185,0.02325595635902423
176,0.02616295090390226
159,0.034883934538536346
158,0.034883934538536346
160,0.034883934538536346
172,0.03197693999365832
180,0.02906994544878029
177,0.03197693999365832
171,0.037790929083414374
167,0.043604918173170436
170,0.04651191271804846
166,0.05232590180780452
160,0.06395387998731664
155,0.07558185816682875
157,0.07848885271170679
164,0.07848885271170679
174,0.07558185816682875
185,0.07267486362195072
198,0.06686087453219466
212,0.05813989089756058
220,0.05232590180780452
218,0.04651191271804846
213,0.04069792362829241
208,0.034883934538536346
215,0.020348961814146204
238,0.002906994544878029
272,0.011627978179512116
240,0.011627978179512116
196,0.002906994544878029
164,0.008720983634634086
159,0.008720983634634086
153,0.014534972724390145
151,0.020348961814146204
147,0.02325595635902423
144,0.02616295090390226
144,0.02906994544878029
141,0.037790929083414374
137,0.04651191271804846
127,0.05813989089756058
123,0.06395387998731664
126,0.06395387998731664
132,0.05813989089756058
136,0.055232896352682546
132,0.05813989089756058
131,0.05813989089756058
134,0.05232590180780452
139,0.04651191271804846
145,0.043604918173170436
143,0.04069792362829241
140,0.04069792362829241
136,0.043604918173170436
130,0.04651191271804846
125,0.04941890726292649
124,0.04651191271804846
127,0.043604918173170436
124,0.04069792362829241
118,0.043604918173170436
115,0.043604918173170436
114,0.043604918173170436
115,0.043604918173170436
111,0.04651191271804846
112,0.04651191271804846
112,0.043604918173170436
113,0.043604918173170436
113,0.043604918173170436
116,0.043604918173170436
119,0.04651191271804846
119,0.04651191271804846
119,0.04941890726292649
119,0.05232590180780452
121,0.05232590180780452
121,0.05232590180780452
123,0.055232896352682546
126,0.055232896352682546
129,0.05232590180780452
131,0.05232590180780452
133,0.05232590180780452
139,0.05232590180780452
145,0.04941890726292649
157,0.043604918173170436
169,0.037790929083414374
179,0.03197693999365832
183,0.03197693999365832
176,0.034883934538536346
175,0.037790929083414374
174,0.037790929083414374
172,0.04069792362829241
165,0.043604918173170436
146,0.055232896352682546
136,0.0610468854424386
133,0.06395387998731664
139,0.05813989089756058
148,0.05232590180780452
151,0.04941890726292649
153,0.043604918173170436
153,0.04069792362829241
156,0.034883934538536346
157,0.034883934538536346
153,0.034883934538536346
169,0.017441967269268173
185,0.008720983634634086
184,0.005813989089756058
159,0.017441967269268173
149,0.02325595635902423
152,0.020348961814146204
